File,exact_match,chrf,bleu,sentence_bert,is_valid
animal.py,0.0,89.51894699574923,80.91067115702207,0.8521512150764465,1.0
animal.py,0.0,88.97890288867781,86.66415730847507,0.9512758255004883,1.0
animal.py,0.0,100.0,100.00000000000004,1.0000001192092896,1.0
animal.py,0.0,55.28604304694408,20.46857943092183,0.7723069190979004,1.0
animal.py,0.0,100.0,100.00000000000004,1.0000001192092896,1.0
add.py,0.0,46.33182399629151,21.824882776994272,0.7399689555168152,0.0
add.py,0.0,27.338648490139477,3.8285642543733873,0.36114662885665894,0.0
add.py,0.0,6.97984877953345,0.0,0.22203680872917175,1.0
add.py,0.0,48.6733890592316,53.2800971987552,0.8005436658859253,1.0
add.py,1.0,100.0,100.00000000000004,1.000000238418579,1.0
permute.py,0.0,29.121947010033377,5.816635421147515,0.524738073348999,1.0
permute.py,0.0,22.985919955859178,3.8570367021898564,0.7905749678611755,1.0
permute.py,1.0,100.0,100.00000000000004,0.9999998807907104,1.0
permute.py,0.0,33.90021067527373,13.533528323661276,0.6998828053474426,1.0
permute.py,0.0,19.042114695340505,9.652434877402245,0.6051521897315979,1.0
matrix_reshape.py,0.0,37.59054916159612,27.49516621014752,0.8002464175224304,0.0
matrix_reshape.py,1.0,100.0,100.00000000000004,1.0000001192092896,1.0
matrix_reshape.py,0.0,85.34755739261898,40.35278637463989,0.9111483097076416,1.0
matrix_reshape.py,0.0,57.7521213163628,56.234132519034915,0.9917121529579163,1.0
matrix_reshape.py,1.0,100.0,0.0,1.0000001192092896,1.0
my_sqrt.py,1.0,100.0,100.00000000000004,0.9999998807907104,1.0
my_sqrt.py,1.0,100.0,0.0,1.0,1.0
my_sqrt.py,0.0,36.81792073520966,0.0,0.7326037883758545,1.0
my_sqrt.py,0.0,31.434201193666013,7.687847996206941,0.7575384974479675,1.0
my_sqrt.py,0.0,56.43978387373788,0.0,0.9456789493560791,1.0
plate-utils.py,0.0,17.59088763850022,5.467180016810232,0.46399566531181335,0.0
plate-utils.py,0.0,52.01368803509605,15.05770286076147,0.7869846224784851,1.0
plate-utils.py,0.0,45.62772831732119,14.207405313947058,0.7681174278259277,1.0
plate-utils.py,0.0,47.11923088354385,13.297818013585362,0.667144775390625,0.0
plate-utils.py,0.0,48.11813318587243,12.632368169934818,0.3685983121395111,0.0
